Ch1 Amplitude,Ch2 Amplitude,Cluster
2599.97876,1731.20618,1
2600.10742,1806.00513,1
2600.33936,7558.83838,1
2600.65259,1573.95825,1
2600.72534,1723.1095,1
2600.758,1682.54871,1
2600.863,7507.972,1
2600.87085,1779.21765,1
2600.94287,1765.17676,1
2600.9978,7303.183,1
2601.17969,1700.23547,1
2601.23633,7493.0625,1
2601.33423,7450.69238,1
2601.437,1709.95508,1
2601.64453,1821.76782,1
2601.65259,1903.4989,1
2601.772,1716.36523,1
2601.817,1808.08386,1
2601.89648,1721.74316,1
2601.934,1779.35962,1
2602.109,7325.59375,1
2602.24731,7304.455,1
2602.26563,7506.087,1
2602.31519,1763.53479,1
2602.37158,7461.97461,1
2602.518,1779.55457,1
2602.58325,1863.00757,1
2602.75781,7444.921,1
2602.82,7337.26367,1
2602.925,7454.24268,1
2603.07568,7480.65234,1
2603.30542,7422.715,1
2603.32422,7609.55469,1
2603.32568,1695.35425,1
2603.34082,7294.408,1
2603.4585,7571.12,1
2603.71143,1745.23035,1
2603.85742,1718.54089,1
2604.00317,1741.13159,1
2604.25928,7577.41553,1
2604.39868,7402.176,1
2604.54858,1649.94678,1
2604.63428,7603.518,1
2604.72485,1749.43665,1
2604.86377,1685.8728,1
2604.89819,1738.676,1
2604.92725,7293.891,1
2604.94263,1749.04346,1
2605.21045,1750.71631,1
2605.32617,1744.807,1
2605.495,1843.40784,1
2605.85278,7575.852,1
2605.872,1883.54553,1
2606.09473,7248.06445,1
2606.19019,7500.761,1
2606.29443,7371.187,1
2606.29858,1722.63757,1
2606.452,1828.61511,1
2606.46973,7658.51025,1
2606.62744,1687.24854,1
2606.68579,1749.96448,1
2606.71973,1764.53784,1
2606.73779,1767.81116,1
2606.887,7542.34326,1
2606.90259,1742.85,1
2606.92065,1830.04138,1
2606.93433,1732.22473,1
2607.005,1778.40466,1
2607.02979,7661.15332,1
2607.12866,1757.2843,1
2607.18823,1817.271,1
2607.33984,7501.80469,1
2607.342,7489.6,1
2607.42,7537.01465,1
2607.51,1738.55334,1
2607.61841,7542.52832,1
2607.64624,1821.001,1
2607.68115,7314.214,1
2607.816,1688.01208,1
2607.863,1726.60632,1
2607.978,7301.546,1
2608.091,7613.558,1
2608.12524,1734.50964,1
2608.13184,1843.37268,1
2608.34351,1701.22778,1
2608.37769,7497.358,1
2608.389,7496.56,1
2608.43945,1764.79663,1
2608.45923,1834.16174,1
2608.50757,1764.39331,1
2608.666,1702.3125,1
2608.666,7264.55664,1
2608.71265,7672.94434,1
2608.737,1802.51355,1
2608.868,1827.7063,1
2608.88721,1794.88049,1
2608.92725,1742.84619,1
2608.98413,7605.13867,1
2609.0293,7239.78125,1
2609.213,7514.48926,1
2609.25269,1686.374,1
2609.4043,1815.096,1
2609.41821,1758.213,1
2609.49048,1814.38525,1
2609.49341,1707.189,1
2609.55176,1759.2699,1
2609.59326,1760.21436,1
2609.60352,1675.79565,1
2609.67847,1763.15637,1
2609.82422,1841.01721,1
2609.952,7375.35449,1
2609.95947,7763.144,1
2609.96167,1648.5863,1
2610.08521,7618.43555,1
2610.16138,7355.077,1
2610.19531,1751.82813,1
2610.464,7307.288,1
2610.53149,1918.5957,1
2610.85034,7377.2,1
2610.88574,7487.43652,1
2610.90942,1691.41406,1
2610.95264,1764.40369,1
2611.04614,7398.12744,1
2611.195,1847.04919,1
2611.38135,7613.088,1
2611.389,7276.3457,1
2611.43677,1756.32837,1
2611.489,1779.64539,1
2611.512,1615.05518,1
2611.82983,1695.041,1
2611.96045,1739.87415,1
2612.073,7463.61572,1
2612.10254,1731.39014,1
2612.12427,1707.50281,1
2612.16162,7692.04053,1
2612.248,7268.642,1
2612.277,7382.219,1
2612.342,1783.32275,1
2612.43213,1798.80017,1
2612.46753,1696.61182,1
2612.551,7499.69141,1
2612.70215,7268.914,1
2612.83545,1700.77539,1
2612.85767,1794.432,1
2612.934,1735.98047,1
2612.96924,1743.67029,1
2613.02075,1797.69,1
2613.12866,7651.105,1
2613.23438,7607.16846,1
2613.26831,1729.10437,1
2613.47339,7464.67236,1
2613.7124,7477.155,1
2613.755,7499.2876,1
2613.79883,1733.76416,1
2613.932,7429.06348,1
2613.96265,1702.67737,1
2614.06323,1733.44055,1
2614.1687,1631.3291,1
2614.3335,1779.10913,1
2614.59253,1732.63416,1
2614.66821,1840.17444,1
2614.67676,7407.87451,1
2614.79224,7513.60059,1
2614.92139,1827.51709,1
2615.055,7302.13672,1
2615.144,1811.49536,1
2615.18677,1665.293,1
2615.23853,1732.41406,1
2615.27319,1738.83289,1
2615.67725,1752.11426,1
2615.864,1782.61365,1
2616.01831,1715.84766,1
2616.16479,7504.0166,1
2616.189,7482.269,1
2616.19238,1779.08423,1
2616.386,1637.68262,1
2616.42847,1815.66858,1
2616.43335,7551.60742,1
2616.4834,1683.13293,1
2616.53687,1732.12671,1
2616.54053,7371.134,1
2616.548,1693.09937,1
2616.557,1770.15344,1
2616.60645,7386.254,1
2616.852,1704.23352,1
2616.97,7270.65,1
2617.059,1784.18335,1
2617.073,1742.28552,1
2617.17163,1689.34351,1
2617.31958,1880.67444,1
2617.365,7455.639,1
2617.396,1771.26013,1
2617.4292,7565.158,1
2617.4978,7388.647,1
2617.57861,1698.56348,1
2617.61523,1664.27808,1
2617.67334,7449.95361,1
2617.748,7372.06641,1
2617.778,1655.29028,1
2617.90918,1703.42407,1
2618.08618,7301.868,1
2618.26587,1612.7229,1
2618.30566,7547.704,1
2618.42822,7329.665,1
2618.52319,7505.83936,1
2618.77539,7498.672,1
2618.779,1736.76282,1
2618.82227,7451.949,1
2618.839,1765.9679,1
2618.84839,1818.58337,1
2618.91943,1768.236,1
2618.94165,1805.797,1
2618.95679,1713.33972,1
2619.18115,7520.29346,1
2619.22681,7646.942,1
2619.23071,1714.80554,1
2619.24585,1776.42493,1
2619.286,7473.865,1
2619.32324,1697.28772,1
2619.38232,1806.86,1
2619.40259,7576.80127,1
2619.50269,7754.721,1
2619.77441,1811.96277,1
2619.829,1758.656,1
2619.96533,1769.301,1
2619.982,7659.25928,1
2620.02246,1822.96191,1
2620.0752,7661.591,1
2620.14526,1744.9751,1
2620.248,7482.22559,1
2620.44751,1705.30908,1
2620.46948,7445.938,1
2620.50562,1743.41052,1
2620.59619,1727.6377,1
2620.622,7552.731,1
2620.65356,7650.52148,1
2620.73218,1808.868,1
2620.92822,1834.42761,1
2620.99316,1738.293,1
2621.106,1738.84827,1
2621.14233,1748.599,1
2621.30176,1821.05945,1
2621.315,7675.9873,1
2621.34253,7449.11,1
2621.372,7366.71143,1
2621.38232,1802.32373,1
2621.66479,1677.78357,1
2621.74829,1798.55981,1
2621.863,1702.00818,1
2621.99,1786.01428,1
2621.99023,1936.27515,1
2622.05347,7599.76465,1
2622.07373,1686.60352,1
2622.08838,7478.769,1
2622.13037,1758.97681,1
2622.16577,7523.592,1
2622.45117,1704.661,1
2622.511,1785.23889,1
2622.546,1749.176,1
2622.55151,1698.5863,1
2622.55371,1699.65527,1
2622.559,1822.73364,1
2622.63379,7389.29834,1
2622.67456,1792.08533,1
2622.8418,7403.602,1
2622.8584,7480.42041,1
2623.0625,1826.06665,1
2623.08545,7503.117,1
2623.20654,1791.23743,1
2623.24072,1735.564,1
2623.28442,1699.71716,1
2623.295,7562.22266,1
2623.39673,1747.97937,1
2623.44116,1759.0592,1
2623.478,7381.8833,1
2623.53564,1730.74292,1
2623.667,1751.64368,1
2623.76685,7615.399,1
2623.86816,1792.24548,1
2623.888,7439.01465,1
2623.9082,7505.09,1
2623.97388,1739.94312,1
2624,1745.72668,1
2624.01318,7474.814,1
2624.02319,7413.453,1
2624.09937,7316.69434,1
2624.10815,1814.80872,1
2624.1438,7313.429,1
2624.22681,1742.28174,1
2624.42554,7265.82,1
2624.43579,7436.18066,1
2624.49683,1760.27283,1
2624.57422,7351.62256,1
2624.618,7415.89648,1
2624.66138,1769.36279,1
2624.72485,1781.99231,1
2624.73828,1760.24133,1
2624.83423,7587.32568,1
2624.84155,7641.58057,1
2624.99341,1770.33679,1
2625.45239,7435.36572,1
2625.60815,1753.28577,1
2625.6123,1711.1416,1
2625.619,1810.23474,1
2625.64722,1742.6759,1
2625.78833,1728.70911,1
2625.85181,1652.53418,1
2625.85449,7556.963,1
2625.88452,7680.739,1
2625.93652,1653.82336,1
2625.97241,7419.63135,1
2626.23413,1838.92651,1
2626.25439,1603.42041,1
2626.30615,1725.4491,1
2626.35669,7371.01367,1
2626.36621,1607.432,1
2626.367,1694.90515,1
2626.432,1797.95984,1
2626.45654,1793.61145,1
2626.51416,1691.466,1
2626.58813,1796.19067,1
2626.66113,7481.402,1
2626.72949,7640.695,1
2626.75366,1815.09839,1
2626.83667,7672.38135,1
2626.83887,1693.71484,1
2626.91235,7608.36,1
2627.00854,1750.01721,1
2627.021,7348.687,1
2627.08228,7379.63037,1
2627.10083,7410.434,1
2627.12451,1788.72144,1
2627.135,1701.52014,1
2627.19214,7398.038,1
2627.237,1754.47437,1
2627.27979,7513.277,1
2627.33081,1722.08838,1
2627.412,1658.6864,1
2627.47485,1752.34521,1
2627.47852,1720.39673,1
2627.49976,1761.58252,1
2627.52979,1773.93811,1
2627.536,1729.30249,1
2627.53882,1863.37781,1
2627.57153,1767.58508,1
2627.60425,1750.78662,1
2627.61353,1750.40649,1
